entity,t0,mode,train_tuvo_shock,test_es_shock,categoria,y_test,raw_pred,yhat,pred_negativa_cruda,positive_by_construction,mase,error_signed,fit_status,lambda_multiplier,lambda_value,validation_qlike,qlike_floor_1e-12,qlike_floor_1e-10,qlike_floor_1e-08,qlike_floor_1e-06,qlike
CLP,1140,naive,True,False,train_tuvo_shock,4.714910044665214e-06,2.3297227936497477e-05,2.3297227936497477e-05,False,True,0.0002185523076798491,1.8582317891832262e-05,ok,,,,0.7999852755079306,0.7999852755079306,0.7999852755079306,0.7999852755079306,0.7999852755079306
CLP,1140,ewma_0.94,True,False,train_tuvo_shock,4.714910044665214e-06,3.076255135591862e-05,3.076255135591862e-05,False,True,0.0003063542530769869,2.6047641311253403e-05,ok,,,,1.0288360957678675,1.0288360957678675,1.0288360957678675,1.0288360957678675,1.0288360957678675
CLP,1140,garch_11,True,False,train_tuvo_shock,4.714910044665214e-06,0.042590657578011136,0.042590657578011136,False,True,0.5008662589340787,0.04258594266796647,ok,,,,8.108771068083831,8.108771068083831,8.108771068083831,8.108771068083831,8.108771068083831
CLP,1140,gjr_garch_11,True,False,train_tuvo_shock,4.714910044665214e-06,0.04247799209551571,0.04247799209551571,False,True,0.49954116583543673,0.042473277185471045,ok,,,,8.106122546922073,8.106122546922073,8.106122546922073,8.106122546922073,8.106122546922073
CLP,1140,ols_clip_legacy,True,False,train_tuvo_shock,4.714910044665214e-06,0.04134198628827607,0.04134198628827607,False,False,0.48618025509463714,0.0413372713782314,ok,,,,8.07901808886311,8.07901808886311,8.07901808886311,8.07901808886311,8.07901808886311
CLP,1140,ridge_clip,True,False,train_tuvo_shock,4.714910044665214e-06,0.050123671623745286,0.050123671623745286,False,False,0.5894643344305462,0.05011895671370062,ok,0.01,5.0,8.809401710161115,8.271612891162471,8.271612891162471,8.271612891162471,8.271612891162471,8.271612891162471
CLP,1140,log_ridge,True,False,train_tuvo_shock,4.714910044665214e-06,3.1868155903926156e-06,3.1868155903926156e-06,False,True,1.797238489181426e-05,-1.5280944542725983e-06,ok,100.0,50000.0,9.87687554552572,0.08779747284331751,0.08779747284331751,0.08779747284331751,0.08779747284331751,0.08779747284331751
CLP,1140,softplus_ridge,True,False,train_tuvo_shock,4.714910044665214e-06,0.050102293347981545,0.050102293347981545,False,True,0.589212898009666,0.05009757843793688,ok,0.01,5.0,8.809025570414372,8.271186329747854,8.271186329747854,8.271186329747854,8.271186329747854,8.271186329747854
CLP,1140,nnls_signed_clip_legacy,True,False,train_tuvo_shock,4.714910044665214e-06,0.04262421940541651,0.04262421940541651,False,False,0.5012609898213713,0.04261950449537184,ok,,,,8.109558679740367,8.109558679740367,8.109558679740367,8.109558679740367,8.109558679740367
CLP,1140,nnls_nonneg,True,False,train_tuvo_shock,4.714910044665214e-06,0.0444015703040463,0.0444015703040463,False,True,0.5221649557697278,0.044396855394001636,ok,,,,8.150406465555804,8.150406465555804,8.150406465555804,8.150406465555804,8.150406465555804
CLP,1140,ssrc_log,True,False,train_tuvo_shock,4.714910044665214e-06,3.507996321778391e-06,3.507996321778391e-06,False,True,1.4194880361148764e-05,-1.206913722886823e-06,ok,1.0,1.5064176247408776,9.858505003677955,0.04836165053200925,0.04836165053200925,0.04836165053200925,0.04836165053200925,0.04836165053200925
CLP,1160,naive,True,False,train_tuvo_shock,0.0001911150803905333,1.9560411642208607e-05,1.9560411642208607e-05,False,True,0.0020176995614446303,-0.00017155466874832468,ok,,,,6.491135957904606,6.491135957904606,6.491135957904606,6.491135957904606,6.491135957904606
CLP,1160,ewma_0.94,True,False,train_tuvo_shock,0.0001911150803905333,3.653180791608659e-05,3.653180791608659e-05,False,True,0.001818094508030769,-0.0001545832724744467,ok,,,,2.5767782050439108,2.5767782050439108,2.5767782050439108,2.5767782050439108,2.5767782050439108
CLP,1160,garch_11,True,False,train_tuvo_shock,0.0001911150803905333,0.0003068680638792616,0.0003068680638792616,False,True,0.0013614012706570275,0.00011575298348872831,ok,,,,0.09633447678108875,0.09633447678108875,0.09633447678108875,0.09633447678108875,0.09633447678108875
CLP,1160,gjr_garch_11,True,False,train_tuvo_shock,0.0001911150803905333,3.08767483163165e-05,3.08767483163165e-05,False,True,0.001884605150717728,-0.0001602383320742168,ok,,,,3.3667392844898254,3.3667392844898254,3.3667392844898254,3.3667392844898254,3.3667392844898254
