entity,t0,variant,raw_pred,pred_negativa,positive_by_construction,yhat_clipped,y_test,mase,qlike_floor_1e-12,qlike_floor_1e-10,qlike_floor_1e-08,qlike_floor_1e-06,qlike
PEN,920,nnls_nonneg,0.00011051659694923231,False,True,0.00011051659694923231,2.3542430772847428e-07,0.4024514947163079,5.153661753189236,5.153661753189236,5.153661753189236,3.714214123010823,5.153661753189236
PEN,940,nnls_original_legacy,0.0005779960151323196,False,False,0.0005779960151323196,0.0005832006890419704,0.019095931457733202,4.0300456959130315e-05,4.0300456959130315e-05,4.0300456959130315e-05,4.0300456959130315e-05,4.0300456959130315e-05
PEN,940,nnls_intermedia_legacy,0.000638627905610295,False,False,0.000638627905610295,0.0005832006890419704,0.2033622753039433,0.003999518150316961,0.003999518150316961,0.003999518150316961,0.003999518150316961,0.003999518150316961
PEN,940,nnls_nonneg,0.0004728589964964864,False,True,0.0004728589964964864,0.0005832006890419704,0.4048433070651674,0.02361597388640546,0.02361597388640546,0.02361597388640546,0.02361597388640546,0.02361597388640546
PEN,960,nnls_original_legacy,5.7580377478503276e-05,False,False,5.7580377478503276e-05,0.000526671334123629,1.6723658285086458,5.9333206924599216,5.9333206924599216,5.9333206924599216,5.9333206924599216,5.9333206924599216
PEN,960,nnls_intermedia_legacy,0.00028269280914888686,False,False,0.00028269280914888686,0.000526671334123629,0.8698128631082866,0.24083588316209248,0.24083588316209248,0.24083588316209248,0.24083588316209248,0.24083588316209248
PEN,960,nnls_nonneg,0.00012697117891783666,False,True,0.00012697117891783666,0.000526671334123629,1.4249792534829397,1.7253431306503129,1.7253431306503129,1.7253431306503129,1.7253431306503129,1.7253431306503129
PEN,980,nnls_original_legacy,0.0004393599168830942,False,False,0.0004393599168830942,4.260038604218253e-06,1.5532425943838661,3.645736722178138,3.645736722178138,3.645736722178138,3.645736722178138,3.645736722178138
PEN,980,nnls_intermedia_legacy,0.00041324795878078203,False,False,0.00041324795878078203,4.260038604218253e-06,1.4600267430999858,3.585078249276866,3.585078249276866,3.585078249276866,3.585078249276866,3.585078249276866
PEN,980,nnls_nonneg,0.00044587121876369555,False,True,0.00044587121876369555,4.260038604218253e-06,1.57648698476579,3.6603063557681814,3.6603063557681814,3.6603063557681814,3.6603063557681814,3.6603063557681814
PEN,1000,nnls_original_legacy,0.00024732665096203907,False,False,0.00024732665096203907,4.18660209366931e-06,0.8675069825523061,3.095747907676598,3.095747907676598,3.095747907676598,3.095747907676598,3.095747907676598
PEN,1000,nnls_intermedia_legacy,0.00044470433335938066,False,False,0.00044470433335938066,4.18660209366931e-06,1.5717369869329632,3.674934542827584,3.674934542827584,3.674934542827584,3.674934542827584,3.674934542827584
PEN,1000,nnls_nonneg,0.00012576497886918495,False,True,0.00012576497886918495,4.18660209366931e-06,0.4337832918559375,2.4358145625024683,2.4358145625024683,2.4358145625024683,2.4358145625024683,2.4358145625024683
PEN,1020,nnls_original_legacy,0.00012849277466167404,False,False,0.00012849277466167404,6.33306687702887e-06,0.4394400230897489,2.0593753953557257,2.0593753953557257,2.0593753953557257,2.0593753953557257,2.0593753953557257
PEN,1020,nnls_intermedia_legacy,0.00022251026570772135,False,False,0.00022251026570772135,6.33306687702887e-06,0.7776452233588049,2.587650529732333,2.587650529732333,2.587650529732333,2.587650529732333,2.587650529732333
PEN,1020,nnls_nonneg,0.00011317031261378134,False,True,0.00011317031261378134,6.33306687702887e-06,0.38432116926940507,1.9390697541946205,1.9390697541946205,1.9390697541946205,1.9390697541946205,1.9390697541946205
PEN,1040,nnls_original_legacy,0.00017886157258478055,False,False,0.00017886157258478055,1.7122103027065916e-05,0.5809195084682796,1.4419702027026395,1.4419702027026395,1.4419702027026395,1.4419702027026395,1.4419702027026395
PEN,1040,nnls_intermedia_legacy,0.0002685690684670085,False,False,0.0002685690684670085,1.7122103027065916e-05,0.9031218413702573,1.8164909870808312,1.8164909870808312,1.8164909870808312,1.8164909870808312,1.8164909870808312
PEN,1040,nnls_nonneg,0.00011110832655475896,False,True,0.00011110832655475896,1.7122103027065916e-05,0.3375702351677032,1.0242382260040785,1.0242382260040785,1.0242382260040785,1.0242382260040785,1.0242382260040785
PEN,1060,nnls_original_legacy,0.0001083994313622449,False,False,0.0001083994313622449,4.783623308578838e-06,0.3675755195733319,2.164754167360925,2.164754167360925,2.164754167360925,2.164754167360925,2.164754167360925
PEN,1060,nnls_intermedia_legacy,5.527704574128127e-05,False,False,5.527704574128127e-05,4.783623308578838e-06,0.17912465611543957,1.5336985177263087,1.5336985177263087,1.5336985177263087,1.5336985177263087,1.5336985177263087
PEN,1060,nnls_nonneg,0.00011798477039931325,False,True,0.00011798477039931325,4.783623308578838e-06,0.40157936554065843,2.2459016914429903,2.2459016914429903,2.2459016914429903,2.2459016914429903,2.2459016914429903
PEN,1080,nnls_original_legacy,0.0009089469350822899,False,False,0.0009089469350822899,1.5326217237365912e-06,3.150864867428737,5.38699305227338,5.38699305227338,5.38699305227338,5.38699305227338,5.38699305227338
PEN,1080,nnls_intermedia_legacy,0.0007618402971353766,False,False,0.0007618402971353766,1.5326217237365912e-06,2.6400583588153594,5.210768872247388,5.210768872247388,5.210768872247388,5.210768872247388,5.210768872247388
PEN,1080,nnls_nonneg,0.0005821879168813047,False,True,0.0005821879168813047,1.5326217237365912e-06,2.0162414705877745,4.942445983636582,4.942445983636582,4.942445983636582,4.942445983636582,4.942445983636582
PEN,1100,nnls_original_legacy,0.00024396413975653013,False,False,0.00024396413975653013,0.0005516219267133777,1.0967562279646565,0.4452362578995379,0.4452362578995379,0.4452362578995379,0.4452362578995379,0.4452362578995379
PEN,1100,nnls_intermedia_legacy,0.0002596376715484735,False,False,0.0002596376715484735,0.0005516219267133777,1.0408823176143,0.37100774489270205,0.37100774489270205,0.37100774489270205,0.37100774489270205,0.37100774489270205
PEN,1100,nnls_nonneg,0.00033348847161590925,False,True,0.00033348847161590925,0.0005516219267133777,0.7776147250228814,0.15084133997917082,0.15084133997917082,0.15084133997917082,0.15084133997917082,0.15084133997917082
PEN,1120,nnls_original_legacy,0.00020959097211236904,False,False,0.00020959097211236904,5.825732823222325e-05,0.521155421166397,0.5582452288947255,0.5582452288947255,0.5582452288947255,0.5582452288947255,0.5582452288947255
PEN,1120,nnls_intermedia_legacy,0.0001118799704902881,False,False,0.0001118799704902881,5.825732823222325e-05,0.1846630398471702,0.1732694735619238,0.1732694735619238,0.1732694735619238,0.1732694735619238,0.1732694735619238
PEN,1120,nnls_nonneg,0.000131295003921911,False,True,0.000131295003921911,5.825732823222325e-05,0.2515235849684561,0.2562900530850398,0.2562900530850398,0.2562900530850398,0.2562900530850398,0.2562900530850398
PEN,1140,nnls_original_legacy,5.0849103861964047e-05,False,False,5.0849103861964047e-05,0.0003155652344793643,1.1402069194728266,3.3804124288546316,3.3804124288546316,3.3804124288546316,3.3804124288546316,3.3804124288546316
PEN,1140,nnls_intermedia_legacy,6.0574810897028595e-05,False,False,6.0574810897028595e-05,0.0003155652344793643,1.098315560482793,2.5590262176852296,2.5590262176852296,2.5590262176852296,2.5590262176852296,2.5590262176852296
PEN,1140,nnls_nonneg,0.00011567437674325621,False,True,0.00011567437674325621,0.0003155652344793643,0.8609862141702348,0.7244615682336935,0.7244615682336935,0.7244615682336935,0.7244615682336935,0.7244615682336935
PEN,1160,nnls_original_legacy,0.00010384900647216979,False,False,0.00010384900647216979,0.00011971295080217151,0.0936642570155136,0.01060089487286886,0.01060089487286886,0.01060089487286886,0.01060089487286886,0.01060089487286886
PEN,1160,nnls_intermedia_legacy,7.360073822080583e-05,False,False,7.360073822080583e-05,0.00011971295080217151,0.2722567629417902,0.14007659868731936,0.14007659868731936,0.14007659868731936,0.14007659868731936,0.14007659868731936
PEN,1160,nnls_nonneg,0.00010034163672093621,False,True,0.00010034163672093621,0.00011971295080217151,0.114372548408512,0.016537528952738967,0.016537528952738967,0.016537528952738967,0.016537528952738967,0.016537528952738967
PEN,1180,nnls_original_legacy,0.00010587013742359663,False,False,0.00010587013742359663,0.00010811181126525236,0.012936232359508028,0.0002210501769683848,0.0002210501769683848,0.0002210501769683848,0.0002210501769683848,0.0002210501769683848
PEN,1180,nnls_intermedia_legacy,8.33157002079726e-05,False,False,8.33157002079726e-05,0.00010811181126525236,0.14309318701431337,0.03708733578045509,0.03708733578045509,0.03708733578045509,0.03708733578045509,0.03708733578045509
PEN,1180,nnls_nonneg,9.151225856740279e-05,False,True,9.151225856740279e-05,0.00010811181126525236,0.095792557674079,0.014698530477987859,0.014698530477987859,0.014698530477987859,0.014698530477987859,0.014698530477987859
PEN,1200,nnls_original_legacy,9.071533204294676e-05,False,False,9.071533204294676e-05,0.0008565183234581616,4.328550268845046,6.196676042350612,6.196676042350612,6.196676042350612,6.196676042350612,6.196676042350612
PEN,1200,nnls_intermedia_legacy,0.00010270585058858129,False,False,0.00010270585058858129,0.0008565183234581616,4.260776229234175,5.218521437460742,5.218521437460742,5.218521437460742,5.218521437460742,5.218521437460742
PEN,1200,nnls_nonneg,0.00010970549526776207,False,True,0.00010970549526776207,0.0008565183234581616,4.221212119146414,4.752356925726249,4.752356925726249,4.752356925726249,4.752356925726249,4.752356925726249
PEN,1220,nnls_original_legacy,0.00019662429041885404,False,False,0.00019662429041885404,0.0005037832155076424,1.6743613760399523,0.6213103506048165,0.6213103506048165,0.6213103506048165,0.6213103506048165,0.6213103506048165
PEN,1220,nnls_intermedia_legacy,0.0001932653427064725,False,False,0.0001932653427064725,0.0005037832155076424,1.692671416394872,0.6486099925171986,0.6486099925171986,0.6486099925171986,0.6486099925171986,0.6486099925171986
PEN,1220,nnls_nonneg,0.00015469856388844767,False,True,0.00015469856388844767,0.0005037832155076424,1.9029037084648823,1.0758798881182416,1.0758798881182416,1.0758798881182416,1.0758798881182416,1.0758798881182416
PEN,1240,nnls_original_legacy,9.503340404946267e-05,False,False,9.503340404946267e-05,1.815433282642754e-06,0.5206963671099201,2.9770073958866385,2.9770073958866385,2.9770073958866385,2.9770073958866385,2.9770073958866385
PEN,1240,nnls_intermedia_legacy,6.475193052074892e-05,False,False,6.475193052074892e-05,1.815433282642754e-06,0.35155029873456406,2.6022760964207587,2.6022760964207587,2.6022760964207587,2.6022760964207587,2.6022760964207587
PEN,1240,nnls_nonneg,8.494312538929441e-05,False,True,8.494312538929441e-05,1.815433282642754e-06,0.46433415070189604,2.8670300961517414,2.8670300961517414,2.8670300961517414,2.8670300961517414,2.8670300961517414
PEN,1260,nnls_original_legacy,0.00015080120104397487,False,False,0.00015080120104397487,0.00016386931142230586,0.07286126582943396,0.0035510581511506434,0.0035510581511506434,0.0035510581511506434,0.0035510581511506434,0.0035510581511506434
PEN,1260,nnls_intermedia_legacy,0.0002387192510262218,False,False,0.0002387192510262218,0.00016386931142230586,0.41732593228176557,0.0626709682248876,0.0626709682248876,0.0626709682248876,0.0626709682248876,0.0626709682248876
PEN,1260,nnls_nonneg,0.00024161580857613474,False,True,0.00024161580857613474,0.00016386931142230586,0.43347569253971446,0.06650230763166287,0.06650230763166287,0.06650230763166287,0.06650230763166287,0.06650230763166287
PEN,1280,nnls_original_legacy,0.00010867696070359637,False,False,0.00010867696070359637,4.1912511513349375e-06,0.5623993849306355,2.29394666760026,2.29394666760026,2.29394666760026,2.29394666760026,2.29394666760026
PEN,1280,nnls_intermedia_legacy,0.0001364419611689643,False,False,0.0001364419611689643,4.1912511513349375e-06,0.7118458427403652,2.5136182356050636,2.5136182356050636,2.5136182356050636,2.5136182356050636,2.5136182356050636
PEN,1280,nnls_nonneg,0.00015175543968354587,False,True,0.00015175543968354587,4.1912511513349375e-06,0.7942713814542647,2.616889439583159,2.616889439583159,2.616889439583159,2.616889439583159,2.616889439583159
PEN,1300,nnls_original_legacy,0.00014143703650492116,False,False,0.00014143703650492116,1.4647583823265458e-06,0.7439643516076114,3.5805206018163505,3.5805206018163505,3.5805206018163505,3.5805206018163505,3.5805206018163505
PEN,1300,nnls_intermedia_legacy,0.00011999948363281235,False,False,0.00011999948363281235,1.4647583823265458e-06,0.6300219671835786,3.4180035099628023,3.4180035099628023,3.4180035099628023,3.4180035099628023,3.4180035099628023
PEN,1300,nnls_nonneg,0.00013342824849610197,False,True,0.00013342824849610197,1.4647583823265458e-06,0.7013969742807564,3.522851439896124,3.522851439896124,3.522851439896124,3.522851439896124,3.522851439896124
PEN,1320,nnls_original_legacy,0.00033518146455301166,False,False,0.00033518146455301166,0.0005080418893716425,0.9039313760721152,0.09983007600040983,0.09983007600040983,0.09983007600040983,0.09983007600040983,0.09983007600040983
PEN,1320,nnls_intermedia_legacy,0.0003793147706994619,False,False,0.0003793147706994619,0.0005080418893716425,0.6731470296988499,0.047170021232072035,0.047170021232072035,0.047170021232072035,0.047170021232072035,0.047170021232072035
PEN,1320,nnls_nonneg,0.00028147260775829346,False,True,0.00028147260775829346,0.0005080418893716425,1.1847887260447805,0.21441379168100028,0.21441379168100028,0.21441379168100028,0.21441379168100028,0.21441379168100028
PEN,1340,nnls_original_legacy,9.934659671422575e-05,False,False,9.934659671422575e-05,5.630267670985717e-07,0.5216862653679887,4.17871011915535,4.17871011915535,4.17871011915535,3.6086804829648704,4.17871011915535
