escenario,t0,mode,ventana_incluye_shock,mase,lambda_elegida,lambda_relativa,mae_validacion,lambda_traza_legacy,n_inner_train,n_validacion
limpio,8840,ridge,False,0.36958354179154823,0.10487759292552919,0.0001,0.05070959465454511,104.8775929255292,400.0,100.0
limpio,8840,nnls,False,0.5242563299314001,,,,,,
limpio,8840,ssrc,False,0.2230929413070278,0.0252149970305066,0.0001,0.02620170728810732,25.2149970305066,400.0,100.0
limpio,8840,naive,False,0.5464499378436741,,,,,,
limpio,8860,ols,False,0.49044652614890705,,,,,,
limpio,8860,ridge,False,0.5631343253887812,0.10177162764910617,0.0001,0.052897557376789445,101.77162764910616,400.0,100.0
limpio,8860,nnls,False,1.6533044353404103,,,,,,
limpio,8860,ssrc,False,0.20235540242998348,0.02492853321257896,0.0001,0.02587079027664335,24.92853321257896,400.0,100.0
limpio,8860,naive,False,1.5927751610641647,,,,,,
limpio,8880,ols,False,0.4335047643334189,,,,,,
limpio,8880,ridge,False,0.3760944699743009,0.10204936574501206,0.0001,0.059490285850473244,102.04936574501205,400.0,100.0
limpio,8880,nnls,False,1.8121772386440658,,,,,,
limpio,8880,ssrc,False,0.022963126326190575,0.025039256137568827,0.0001,0.02845505618764068,25.039256137568827,400.0,100.0
limpio,8880,naive,False,1.584919562197084,,,,,,
limpio,8900,ols,False,0.12625020978880894,,,,,,
limpio,8900,ridge,False,0.0651156009383352,0.10482547318659795,0.0001,0.06666611855947434,104.82547318659795,400.0,100.0
limpio,8900,nnls,False,0.22798495411471234,,,,,,
limpio,8900,ssrc,False,0.35085304227074204,0.02537691321412714,0.0001,0.03035436854723274,25.376913214127143,400.0,100.0
limpio,8900,naive,False,0.20126199231137237,,,,,,
limpio,8920,ols,False,0.3596830861614095,,,,,,
limpio,8920,ridge,False,0.3889301259642597,0.1011986158528171,0.0001,0.06377602598074927,101.19861585281711,400.0,100.0
limpio,8920,nnls,False,1.0315388880047056,,,,,,
limpio,8920,ssrc,False,0.0008276864626050391,0.024640838758838577,0.0001,0.036198513966989136,24.640838758838576,400.0,100.0
limpio,8920,naive,False,1.0027896386833512,,,,,,
limpio,8940,ols,False,0.7269524453571842,,,,,,
limpio,8940,ridge,False,0.7274883182643445,0.0010082769123430351,1e-06,0.06542834675152664,100.82769123430351,400.0,100.0
limpio,8940,nnls,False,0.6970596554496057,,,,,,
limpio,8940,ssrc,False,0.04379265415997849,0.02434010041877755,0.0001,0.03386799312737907,24.340100418777553,400.0,100.0
limpio,8940,naive,False,1.067122175605115,,,,,,
limpio,8960,ols,False,0.057562882165700484,,,,,,
limpio,8960,ridge,False,0.05754319145712261,9.969190679216424e-06,1e-08,0.06958227957173622,99.69190679216425,400.0,100.0
limpio,8960,nnls,False,1.837039804351272,,,,,,
limpio,8960,ssrc,False,0.06938605474584912,0.024011211367528217,0.0001,0.028380113498500132,24.01121136752822,400.0,100.0
limpio,8960,naive,False,1.7732250536559158,,,,,,
limpio,8980,ols,False,0.19634653690982207,,,,,,
limpio,8980,ridge,False,0.22332898150387057,0.1000150366377376,0.0001,0.0668646591779006,100.0150366377376,400.0,100.0
limpio,8980,nnls,False,0.6252623927194845,,,,,,
limpio,8980,ssrc,False,0.021103455810673227,0.024327272005299022,0.0001,0.027190733150256063,24.327272005299022,400.0,100.0
limpio,8980,naive,False,0.5641821913352983,,,,,,
limpio,9000,ols,False,0.6167143318527412,,,,,,
limpio,9000,ridge,False,0.6698979778718169,0.10081032156591524,0.0001,0.06513838175646834,100.81032156591525,400.0,100.0
limpio,9000,nnls,False,1.9861786401872683,,,,,,
limpio,9000,ssrc,False,0.10823069975462316,0.02399132210307133,0.0001,0.025167663860449965,23.99132210307133,400.0,100.0
limpio,9000,naive,False,1.9112323532456523,,,,,,
limpio,9020,ols,False,0.07498803639861276,,,,,,
limpio,9020,ridge,False,0.07499482897066191,0.0010038179154502275,1e-06,0.07379965254549152,100.38179154502276,400.0,100.0
limpio,9020,nnls,False,0.9882764877468515,,,,,,
