ubicacion,magnitud_sigma,signo,t0,kappa_raw,kappa_lw,ventana_incluye_shock
5000,10,1,8940,1333267.8093997948,729.8679708251465,False
5000,10,1,8960,1272936.364857299,687.8640644067435,False
5000,10,1,8980,1425725.231819416,730.2070167641962,False
5000,10,1,9000,1455390.077017556,747.3184286375662,False
5000,10,1,9020,1392747.2013632245,705.948965337351,False
5000,10,1,9040,1396788.8139777505,709.0695151468768,False
5000,10,1,9060,1303201.4805935987,669.4173201478877,False
5000,10,1,9080,1347941.1988378558,718.6505003898278,False
5000,10,1,9100,1385196.2952646795,744.2565637952692,False
5000,10,1,9120,1386610.2117217097,746.6200917608242,False
5000,10,1,9140,1290801.6200966998,718.7534578296488,False
5000,10,1,9160,1254513.5194854732,674.4097511199739,False
5000,10,1,9180,1260371.9799527584,672.5978159102764,False
5000,10,1,9200,1287028.3544464558,677.7371276657809,False
5000,10,1,9220,1194768.761894462,623.4839299295116,False
5000,10,1,9240,1380603.0955439967,629.5974033740864,False
5000,10,1,9260,1398916.993170993,607.4884826720266,False
5000,10,1,9280,1349075.0260999058,549.7983834323218,False
5000,10,1,9300,1370346.7619910636,558.8512017921192,False
5000,10,1,9320,1249426.6709601588,509.50170694010944,False
5000,10,1,9340,1268807.904918281,528.8706736553357,False
5000,10,1,9360,1292518.5151552062,556.7552389634614,False
5000,10,1,9380,1317927.5162714517,586.2243159438142,False
5000,10,1,9400,1304526.9141987548,563.1373499604695,False
5000,10,1,9420,1313603.1753479184,590.7028170560377,False
5000,10,1,9440,1331222.6774612803,585.7088130473197,False
5000,10,1,9460,1354762.6301571212,589.9391754073904,False
5000,10,1,9480,1289294.9350680846,560.3983318437279,False
5000,10,1,9500,1274974.603512873,554.5932020092084,False
5000,10,1,9520,1329738.186475509,573.3560219051542,False
5000,10,1,9540,1303628.4988373767,551.3473642923414,False
5000,10,1,9560,1374847.373538281,553.5300592764727,False
5000,10,1,9580,1309119.1832116426,517.4292378753701,False
5000,10,1,9600,1293495.8126041316,484.1244282491063,False
5000,10,1,9620,1298534.6209687905,484.0479926294886,False
5000,10,1,9640,1167494.1153508383,480.8108064127623,False
5000,10,1,9660,1192065.9749633684,527.7142853443152,False
5000,10,1,9680,1201588.9709999627,553.4516115239464,False
5000,10,1,9700,1253874.9779091608,613.4086596951347,False
5000,10,1,9720,1318956.9812485753,625.4220129984835,False
5000,10,1,9740,1326405.1052693962,631.3687623452022,False
5000,10,1,9760,1318869.9109464549,662.8745195706056,False
5000,10,1,9780,1365878.7527063058,698.9838443578533,False
5000,10,1,9800,1206615.1840135648,667.0166972299392,False
5000,10,1,9820,1244416.713969597,655.0036503079776,False
5000,10,1,9840,1204741.337905291,593.764435665483,False
5000,10,1,9860,1178226.8200880345,557.9561985109065,False
5000,10,1,9880,1160898.252800596,532.2662323234781,False
5000,10,1,9900,1107575.0685324254,536.7863627853828,False
5000,10,1,9920,1078755.5080619801,499.4721324581573,False
5000,10,1,9940,1069489.616597493,493.58077492030714,False
5000,10,1,9960,1051374.861801598,455.0094443075286,False
5000,10,1,9980,1088450.6431838816,455.0218835132201,False
5000,10,1,10000,1072825.2866831433,433.3623636227685,False
5000,10,1,10020,1050563.6043874617,415.2604042753467,False
5000,10,1,10040,1032528.5580693091,409.52039243208634,False
5000,10,1,10060,1024265.5941670059,432.8989276347492,False
5000,10,1,10080,1034995.6057905942,440.04893819579956,False
5000,10,1,10100,1057896.696772338,471.11427950642843,False
5000,10,1,10120,861684.4013388915,477.5219562031839,False
5000,10,1,10140,939651.1823576402,499.89211858748575,False
5000,10,1,10160,938556.443219533,499.91375774519724,False
5000,10,1,10180,927314.9594426414,495.12273855822747,False
5000,10,1,10200,917075.2727051273,490.9721819181454,False
5000,10,1,10220,911725.6615899015,491.2438290588588,False
5000,10,1,10240,933648.1993555854,518.8679207846045,False
5000,10,1,10260,934944.7649681552,503.26468484035126,False
5000,10,1,10280,916049.6624585711,471.67571386304553,False
5000,10,1,10300,973954.0790661108,472.101919992648,False
5000,10,1,10320,953417.3182856448,476.82984388380225,False
5000,10,1,10340,975024.0988716211,506.5091426146786,False
5000,10,1,10360,996316.5913482023,537.5136265001017,False
5000,10,1,10380,999059.6513155333,554.9739220873203,False
5000,10,1,10400,1056488.5171758642,564.2362011719547,False
5000,10,1,10420,1054327.3343170683,568.798220141695,False
5000,10,1,10440,1064649.523817844,586.7089819222919,False
5000,10,1,10460,1066997.7855680857,591.0886286551829,False
