H,sigma_ruido,semilla,t0,mode,mase_acumulado,lambda_elegida,lambda_relativa,mae_validacion,lambda_traza_legacy,n_inner_train,n_validacion
10,0.2,3,18740,nnls,2.9171334204194372,,,,,,
10,0.2,3,18740,ssrc,1.7611392443147609,2.400150168893471,0.01,0.2466383652969304,24.001501688934713,400.0,100.0
10,0.2,3,18740,naive,2.7449646284389098,,,,,,
10,0.2,3,18800,ols,3.2917347641768293,,,,,,
10,0.2,3,18800,ridge,3.2917352080071556,8.854539104768165e-06,1e-08,0.2919905677897992,88.54539104768166,400.0,100.0
10,0.2,3,18800,nnls,3.0525432851268257,,,,,,
10,0.2,3,18800,ssrc,0.8050560461619627,2.3837733108128543,0.01,0.2339083167032886,23.837733108128546,400.0,100.0
10,0.2,3,18800,naive,2.799505186943719,,,,,,
10,0.2,3,18860,ols,2.900399536013306,,,,,,
10,0.2,3,18860,ridge,2.896677438691222,0.8993246747771103,0.001,0.26919596953741304,89.93246747771104,400.0,100.0
10,0.2,3,18860,nnls,3.0290335190910875,,,,,,
10,0.2,3,18860,ssrc,3.4223888242982845,2.388006119848337,0.01,0.2254892556147215,23.88006119848337,400.0,100.0
10,0.2,3,18860,naive,3.019540178513273,,,,,,
10,0.2,3,18920,ols,2.1928306216036075,,,,,,
10,0.2,3,18920,ridge,2.1928308170708704,9.945390237190725e-06,1e-08,0.30086945241569696,99.45390237190726,400.0,100.0
10,0.2,3,18920,nnls,2.3538176111708684,,,,,,
10,0.2,3,18920,ssrc,1.6610623208225985,2.3688562543516727,0.01,0.25166218908037763,23.688562543516724,400.0,100.0
10,0.2,3,18920,naive,2.0623199759718944,,,,,,
10,0.2,3,18980,ols,2.281307195382627,,,,,,
10,0.2,3,18980,ridge,2.2813071737438992,1.0238758901135375e-05,1e-08,0.2909314011467193,102.38758901135375,400.0,100.0
10,0.2,3,18980,nnls,2.298995489712968,,,,,,
10,0.2,3,18980,ssrc,0.8823992673781079,2.3952903640295253,0.01,0.24755416903157065,23.952903640295254,400.0,100.0
10,0.2,3,18980,naive,2.179803079934195,,,,,,
10,0.2,3,19040,ols,1.3900342198242115,,,,,,
10,0.2,3,19040,ridge,1.3871832033040699,1.0466882640855455,0.001,0.3063972556307568,104.66882640855454,400.0,100.0
10,0.2,3,19040,nnls,0.722084913901756,,,,,,
10,0.2,3,19040,ssrc,2.7683879292886835,0.2324749779084258,0.001,0.2646925977680516,23.247497790842583,400.0,100.0
10,0.2,3,19040,naive,1.1321195728453097,,,,,,
10,0.2,3,19100,ols,2.0740507767637735,,,,,,
10,0.2,3,19100,ridge,2.095317993980469,9.795447916742651,0.01,0.2916929616222405,97.95447916742651,400.0,100.0
10,0.2,3,19100,nnls,1.8854637062671953,,,,,,
10,0.2,3,19100,ssrc,0.5769201071446932,2.3483607317836372,0.01,0.2531982694317359,23.483607317836373,400.0,100.0
10,0.2,3,19100,naive,1.590138323614879,,,,,,
10,0.2,3,19160,ols,1.6599833094431955,,,,,,
10,0.2,3,19160,ridge,1.711491631360192,0.9282134130792188,0.001,0.2652015770188229,92.82134130792188,400.0,100.0
10,0.2,3,19160,nnls,1.8718718048711749,,,,,,
10,0.2,3,19160,ssrc,0.929990998934861,23.28105506744491,0.1,0.22397314019090547,23.28105506744491,400.0,100.0
10,0.2,3,19160,naive,2.07783122687475,,,,,,
10,0.2,3,19220,ols,2.312505137795706,,,,,,
10,0.2,3,19220,ridge,2.292263498455305,0.9879522352066784,0.001,0.27821253124778544,98.79522352066785,400.0,100.0
10,0.2,3,19220,nnls,1.8056996722813097,,,,,,
10,0.2,3,19220,ssrc,1.2515217872990303,2.366770993375745,0.01,0.23101023059822154,23.66770993375745,400.0,100.0
10,0.2,3,19220,naive,1.381178411649518,,,,,,
