ubicacion,magnitud_sigma,signo,mode,mase_calma,mase_shock,delta_mase_shock_menos_calma,kappa_raw_mediana_calma,kappa_raw_mediana_shock,kappa_ratio_shock_sobre_calma,patron_shock_baja_kappa,n_ventanas_shock
10000,10,1,ssrc,0.08751109101489565,0.20586180131868873,0.11835071030379307,1288774.6881317,7529.010395292504,0.005841991206552245,True,25.0
10000,15,-1,naive,0.8601859629916906,0.8515095956092728,-0.008676367382417838,1288774.6881317,44783.5450313635,0.03474893279932812,True,25.0
10000,15,-1,nnls,0.8652546430668173,1.0456731668799228,0.18041852381310552,1288774.6881317,44783.5450313635,0.03474893279932812,True,25.0
10000,15,-1,ols,0.2525426345313573,0.25282591888350814,0.0002832843521508588,1288774.6881317,44783.5450313635,0.03474893279932812,True,25.0
10000,15,-1,ridge,0.25221640879034923,0.30773759854895233,0.055521189758603096,1288774.6881317,44783.5450313635,0.03474893279932812,True,25.0
10000,15,-1,ssrc,0.08751109101489565,0.14597414230514325,0.05846305129024759,1288774.6881317,44783.5450313635,0.03474893279932812,True,25.0
10000,15,1,naive,0.8601859629916906,0.8515022770563435,-0.008683685935347074,1288774.6881317,36898.168261051105,0.028630425939340357,True,25.0
10000,15,1,nnls,0.8652546430668173,1.8484774981549967,0.9832228550881794,1288774.6881317,36898.168261051105,0.028630425939340357,True,25.0
10000,15,1,ols,0.2525426345313573,0.32002167109237595,0.06747903656101867,1288774.6881317,36898.168261051105,0.028630425939340357,True,25.0
10000,15,1,ridge,0.25221640879034923,0.3419146597909157,0.08969825100056644,1288774.6881317,36898.168261051105,0.028630425939340357,True,25.0
10000,15,1,ssrc,0.08751109101489565,0.21310770121748254,0.1255966102025869,1288774.6881317,36898.168261051105,0.028630425939340357,True,25.0
10000,20,-1,naive,0.8601859629916906,0.7915556967708711,-0.06863026622081947,1288813.3244662178,138305.54030016513,0.10731231410681336,True,25.0
10000,20,-1,nnls,0.8652546430668173,0.998751388179558,0.13349674511274068,1288813.3244662178,138305.54030016513,0.10731231410681336,True,25.0
10000,20,-1,ols,0.2525426345313573,0.22218798167278328,-0.030354652858574,1288813.3244662178,138305.54030016513,0.10731231410681336,True,25.0
10000,20,-1,ridge,0.25221640879034923,0.27320397404336055,0.02098756525301132,1288813.3244662178,138305.54030016513,0.10731231410681336,True,25.0
10000,20,-1,ssrc,0.08751109101489565,0.212443121140347,0.12493203012545134,1288813.3244662178,138305.54030016513,0.10731231410681336,True,25.0
10000,20,1,naive,0.8601859629916906,0.7915493725162636,-0.06863659047542703,1288813.3244662178,119058.69004997895,0.09237853751961245,True,25.0
10000,20,1,nnls,0.8652546430668173,1.8842263292684123,1.018971686201595,1288813.3244662178,119058.69004997895,0.09237853751961245,True,25.0
10000,20,1,ols,0.2525426345313573,0.2900124292442957,0.03746979471293843,1288813.3244662178,119058.69004997895,0.09237853751961245,True,25.0
10000,20,1,ridge,0.25221640879034923,0.38513499590747763,0.1329185871171284,1288813.3244662178,119058.69004997895,0.09237853751961245,True,25.0
10000,20,1,ssrc,0.08751109101489565,0.29350198314568915,0.2059908921307935,1288813.3244662178,119058.69004997895,0.09237853751961245,True,25.0
10000,30,-1,naive,0.8601859629916906,0.6938492927118993,-0.16633667027979127,1288813.3244662178,683082.4496173979,0.5300088357639436,True,25.0
10000,30,-1,nnls,0.8652546430668173,0.8355743057614067,-0.029680337305410642,1288813.3244662178,683082.4496173979,0.5300088357639436,True,25.0
10000,30,-1,ols,0.2525426345313573,0.18805801433332844,-0.06448462019802884,1288813.3244662178,683082.4496173979,0.5300088357639436,True,25.0
10000,30,-1,ridge,0.25221640879034923,0.24513355448794602,-0.007082854302403213,1288813.3244662178,683082.4496173979,0.5300088357639436,True,25.0
10000,30,-1,ssrc,0.08751109101489565,0.30475663889738197,0.21724554788248632,1288813.3244662178,683082.4496173979,0.5300088357639436,True,25.0
10000,30,1,naive,0.8601859629916906,0.6938444333738091,-0.1663415296178815,1288813.3244662178,619385.8722434737,0.4805861799264079,True,25.0
10000,30,1,nnls,0.8652546430668173,1.8686863326093486,1.0034316895425313,1288813.3244662178,619385.8722434737,0.4805861799264079,True,25.0
10000,30,1,ols,0.2525426345313573,0.2781244761434308,0.025581841612073497,1288813.3244662178,619385.8722434737,0.4805861799264079,True,25.0
